src_ip,dst_ip,protocol,length,src_port,dst_port,timestamp
10.167.121.208,10.167.121.2,6,66,56448,26,1711807968.548908
10.167.121.208,10.167.121.2,6,66,56458,36,1711807968.548955
10.167.121.208,10.167.121.2,6,66,56455,33,1711807968.548963
10.167.121.208,10.167.121.2,6,66,56452,28,1711807968.548965
10.167.121.208,10.167.121.2,6,66,56462,40,1711807968.548963
10.167.121.208,10.167.121.2,6,66,56457,35,1711807968.548963
10.167.121.208,10.167.121.2,6,66,56459,37,1711807968.548964
10.167.121.208,10.167.121.2,6,66,56449,29,1711807968.548974
10.167.121.208,10.167.121.2,6,66,56450,30,1711807968.548992
10.167.121.208,10.167.121.2,6,66,56461,39,1711807968.548991
10.167.121.2,10.167.121.208,6,60,31,56453,1711807968.562964
10.167.121.2,10.167.121.208,6,60,22,56444,1711807968.562964
10.167.121.2,10.167.121.208,6,60,25,56447,1711807968.562964
10.167.121.2,10.167.121.208,6,60,34,56456,1711807968.562964
10.167.121.2,10.167.121.208,6,60,32,56454,1711807968.562964
10.167.121.2,10.167.121.208,6,60,21,56443,1711807968.562964
10.167.121.2,10.167.121.208,6,60,23,56445,1711807968.562964
10.167.121.2,10.167.121.208,6,60,26,56448,1711807968.562964
10.167.121.2,10.167.121.208,6,60,27,56451,1711807968.562964
10.167.121.2,10.167.121.208,6,60,38,56460,1711807968.562964
10.167.121.2,10.167.121.208,6,60,28,56452,1711807968.562964
10.167.121.2,10.167.121.208,6,60,39,56461,1711807968.562964
10.167.121.2,10.167.121.208,6,60,35,56457,1711807968.562964
10.167.121.2,10.167.121.208,6,60,29,56449,1711807968.562964
10.167.121.2,10.167.121.208,6,60,36,56458,1711807968.562964
10.167.121.2,10.167.121.208,6,60,24,56446,1711807968.562964
10.167.121.2,10.167.121.208,6,60,40,56462,1711807968.562964
10.167.121.2,10.167.121.208,6,60,37,56459,1711807968.562964
10.167.121.2,10.167.121.208,6,60,33,56455,1711807968.562964
10.167.121.2,10.167.121.208,6,60,30,56450,1711807968.562964
0.0.0.0,0.0.0.0,0,95,55900,5355,1711807968.645789
10.167.123.104,224.0.0.252,17,75,55900,5355,1711807968.645885
10.167.123.104,10.167.127.255,17,92,137,137,1711807968.645929
13.89.179.10,10.167.121.208,6,1514,443,56463,1711807968.716662
13.89.179.10,10.167.121.208,6,1514,443,56463,1711807968.716662
13.89.179.10,10.167.121.208,6,1514,443,56463,1711807968.716662
13.89.179.10,10.167.121.208,6,207,443,56463,1711807968.716662
10.167.121.208,13.89.179.10,6,54,56463,443,1711807968.717055
10.167.121.208,13.89.179.10,6,1494,56463,443,1711807968.718815
10.167.121.208,13.89.179.10,6,1494,56463,443,1711807968.718815
10.167.121.208,13.89.179.10,6,1494,56463,443,1711807968.718815
10.167.121.208,13.89.179.10,6,1358,56463,443,1711807968.718815
10.167.127.254,10.167.127.241,2048,56,0,0,1711807968.747482
10.167.127.254,10.167.120.74,2048,56,0,0,1711807968.747508
10.167.127.254,10.167.122.157,2048,56,0,0,1711807968.748168
10.167.124.125,239.255.255.250,17,167,58045,1900,1711807968.850329
10.167.121.208,10.167.121.1,2048,42,0,0,1711807968.860442
10.167.121.111,10.167.121.208,2048,60,0,0,1711807968.888203
10.167.122.136,10.167.121.208,2048,56,0,0,1711807968.895349
10.167.121.208,10.167.121.2,6,66,56464,42,1711807968.942447
10.167.121.208,10.167.121.2,6,66,56465,41,1711807968.94258
10.167.121.208,10.167.121.2,6,66,56466,43,1711807968.94281
10.167.121.208,10.167.121.2,6,66,56467,44,1711807968.942973
10.167.121.208,10.167.121.2,6,66,56468,45,1711807968.944782
10.167.121.208,10.167.121.2,6,66,56469,46,1711807968.945205
10.167.121.208,10.167.121.2,6,66,56470,47,1711807968.952083
10.167.121.208,10.167.121.2,6,66,56471,48,1711807968.952319
10.167.121.208,10.167.121.2,6,66,56472,49,1711807968.952531
10.167.121.2,10.167.121.208,6,60,45,56468,1711807968.952672
10.167.121.2,10.167.121.208,6,60,43,56466,1711807968.952672
10.167.121.2,10.167.121.208,6,60,42,56464,1711807968.952672
10.167.121.2,10.167.121.208,6,60,46,56469,1711807968.952672
10.167.121.2,10.167.121.208,6,60,44,56467,1711807968.952672
10.167.121.2,10.167.121.208,6,60,41,56465,1711807968.952672
10.167.121.208,10.167.121.2,6,66,56473,50,1711807968.952809
13.89.179.10,10.167.121.208,6,54,443,56463,1711807968.95698
13.89.179.10,10.167.121.208,6,54,443,56463,1711807968.95698
10.167.127.248,10.167.121.208,2048,60,0,0,1711807968.960277
10.167.121.2,10.167.121.208,6,60,48,56471,1711807968.96371
10.167.121.2,10.167.121.208,6,60,47,56470,1711807968.96371
10.167.121.2,10.167.121.208,6,60,49,56472,1711807968.96371
10.167.121.2,10.167.121.208,6,60,50,56473,1711807968.96371
13.89.179.10,10.167.121.208,6,157,443,56463,1711807968.970878
10.167.121.208,13.89.179.10,6,54,56463,443,1711807969.012653
10.167.127.254,10.167.125.135,2048,56,0,0,1711807969.055078
10.167.121.208,10.167.121.2,6,66,56452,28,1711807969.064311
10.167.121.208,10.167.121.2,6,66,56447,25,1711807969.064311
10.167.121.208,10.167.121.2,6,66,56445,23,1711807969.064311
10.167.121.208,10.167.121.2,6,66,56453,31,1711807969.064311
10.167.121.208,10.167.121.2,6,66,56454,32,1711807969.06433
10.167.121.208,10.167.121.2,6,66,56449,29,1711807969.064346
10.167.121.208,10.167.121.2,6,66,56446,24,1711807969.064343
10.167.121.208,10.167.121.2,6,66,56456,34,1711807969.064346
10.167.121.208,10.167.121.2,6,66,56443,21,1711807969.06435
10.167.121.208,10.167.121.2,6,66,56444,22,1711807969.064355
10.167.121.208,10.167.121.2,6,66,56451,27,1711807969.064359
10.167.121.208,10.167.121.2,6,66,56458,36,1711807969.064359
10.167.121.208,10.167.121.2,6,66,56448,26,1711807969.064365
10.167.121.208,10.167.121.2,6,66,56460,38,1711807969.064369
10.167.121.208,10.167.121.2,6,66,56455,33,1711807969.064382
10.167.121.208,10.167.121.2,6,66,56462,40,1711807969.064388
10.167.121.208,10.167.121.2,6,66,56461,39,1711807969.064389
10.167.121.208,10.167.121.2,6,66,56459,37,1711807969.064393
10.167.121.208,10.167.121.2,6,66,56457,35,1711807969.064415
10.167.121.208,10.167.121.2,6,66,56450,30,1711807969.064429
10.167.121.2,10.167.121.208,6,60,28,56452,1711807969.076782
10.167.121.2,10.167.121.208,6,60,31,56453,1711807969.076782
10.167.121.2,10.167.121.208,6,60,37,56459,1711807969.076782
10.167.121.2,10.167.121.208,6,60,23,56445,1711807969.076782
10.167.121.2,10.167.121.208,6,60,32,56454,1711807969.076782
10.167.121.2,10.167.121.208,6,60,29,56449,1711807969.076782
10.167.121.2,10.167.121.208,6,60,27,56451,1711807969.076782
10.167.121.2,10.167.121.208,6,60,22,56444,1711807969.076782
10.167.121.2,10.167.121.208,6,60,40,56462,1711807969.076782
10.167.121.2,10.167.121.208,6,60,26,56448,1711807969.076782
10.167.121.2,10.167.121.208,6,60,39,56461,1711807969.076782
10.167.121.2,10.167.121.208,6,60,24,56446,1711807969.076782
10.167.121.2,10.167.121.208,6,60,25,56447,1711807969.076782
10.167.121.2,10.167.121.208,6,60,21,56443,1711807969.076782
10.167.121.2,10.167.121.208,6,60,33,56455,1711807969.076782
10.167.121.2,10.167.121.208,6,60,35,56457,1711807969.076782
10.167.121.2,10.167.121.208,6,60,30,56450,1711807969.076782
10.167.121.2,10.167.121.208,6,60,38,56460,1711807969.076782
10.167.121.2,10.167.121.208,6,60,36,56458,1711807969.076782
10.167.121.2,10.167.121.208,6,60,34,56456,1711807969.076782
10.167.126.135,224.0.0.251,17,411,5353,5353,1711807969.157261
0.0.0.0,0.0.0.0,0,431,5353,5353,1711807969.157545
10.167.125.18,239.255.255.250,17,212,51871,1900,1711807969.157657
10.167.126.43,239.255.255.250,17,217,52182,1900,1711807969.157717
10.167.127.254,10.167.124.161,2048,56,0,0,1711807969.259485
10.167.127.254,10.167.122.213,2048,56,0,0,1711807969.259513
10.167.123.104,224.0.0.251,17,81,5353,5353,1711807969.260474
10.167.123.104,224.0.0.251,17,81,5353,5353,1711807969.260572
0.0.0.0,0.0.0.0,0,101,5353,5353,1711807969.261261
0.0.0.0,0.0.0.0,0,101,5353,5353,1711807969.26131
10.167.122.126,224.0.0.251,17,171,5353,5353,1711807969.261402
0.0.0.0,0.0.0.0,0,191,5353,5353,1711807969.26144
20.189.173.10,10.167.121.208,6,153,443,56417,1711807969.308895
10.167.121.208,20.189.173.10,6,89,56417,443,1711807969.309959
10.167.127.254,10.167.124.78,2048,56,0,0,1711807969.362137
10.167.123.104,10.167.127.255,17,92,137,137,1711807969.362172
10.167.121.208,10.167.121.2,6,66,56464,42,1711807969.453841
10.167.121.208,10.167.121.2,6,66,56469,46,1711807969.453841
10.167.121.208,10.167.121.2,6,66,56467,44,1711807969.453869
10.167.121.208,10.167.121.2,6,66,56465,41,1711807969.453888
10.167.121.208,10.167.121.2,6,66,56466,43,1711807969.453896
10.167.121.208,10.167.121.2,6,66,56468,45,1711807969.453913
10.167.121.208,10.167.121.2,6,66,56470,47,1711807969.465829
10.167.121.208,10.167.121.2,6,66,56473,50,1711807969.465873
10.167.121.208,10.167.121.2,6,66,56471,48,1711807969.466049
10.167.121.208,10.167.121.2,6,66,56472,49,1711807969.466059
10.167.121.2,10.167.121.208,6,60,41,56465,1711807969.47154
10.167.121.2,10.167.121.208,6,60,44,56467,1711807969.47154
10.167.121.2,10.167.121.208,6,60,45,56468,1711807969.476081
10.167.121.2,10.167.121.208,6,60,46,56469,1711807969.476081
10.167.121.2,10.167.121.208,6,60,42,56464,1711807969.476081
10.167.121.2,10.167.121.208,6,60,43,56466,1711807969.476081
10.167.121.2,10.167.121.208,6,60,48,56471,1711807969.482297
10.167.121.2,10.167.121.208,6,60,49,56472,1711807969.482297
10.167.121.2,10.167.121.208,6,60,50,56473,1711807969.482297
10.167.121.2,10.167.121.208,6,60,47,56470,1711807969.482297
10.167.127.254,10.167.121.127,2048,56,0,0,1711807969.567075
10.167.127.254,10.167.127.108,2048,56,0,0,1711807969.567109
10.167.121.208,10.167.121.2,6,66,56453,31,1711807969.57736
10.167.121.208,10.167.121.2,6,66,56455,33,1711807969.577361
10.167.121.208,10.167.121.2,6,66,56458,36,1711807969.577361
10.167.121.208,10.167.121.2,6,66,56460,38,1711807969.57736
10.167.121.208,10.167.121.2,6,66,56459,37,1711807969.577376
10.167.121.208,10.167.121.2,6,66,56462,40,1711807969.577388
10.167.121.208,10.167.121.2,6,66,56456,34,1711807969.577396
10.167.121.208,10.167.121.2,6,66,56461,39,1711807969.577408
10.167.121.208,10.167.121.2,6,66,56457,35,1711807969.577425
10.167.121.208,10.167.121.2,6,66,56454,32,1711807969.57759
10.167.121.2,10.167.121.208,6,60,32,56454,1711807969.588455
10.167.121.2,10.167.121.208,6,60,31,56453,1711807969.588455
10.167.121.2,10.167.121.208,6,60,37,56459,1711807969.588455
10.167.121.2,10.167.121.208,6,60,33,56455,1711807969.588455
10.167.121.2,10.167.121.208,6,60,39,56461,1711807969.588455
10.167.121.2,10.167.121.208,6,60,40,56462,1711807969.588455
10.167.121.2,10.167.121.208,6,60,34,56456,1711807969.588455
10.167.121.2,10.167.121.208,6,60,38,56460,1711807969.588455
10.167.121.2,10.167.121.208,6,60,36,56458,1711807969.588455
10.167.121.2,10.167.121.208,6,60,35,56457,1711807969.588455
13.89.179.10,10.167.121.208,6,518,443,56463,1711807969.61858
10.167.121.208,13.89.179.10,6,54,56463,443,1711807969.618643
10.167.121.208,13.89.179.10,6,78,56463,443,1711807969.620326
10.167.121.208,13.89.179.10,6,54,56463,443,1711807969.620593
10.167.127.254,10.167.127.241,2048,56,0,0,1711807969.669495
52.123.173.180,10.167.121.208,6,456,443,60979,1711807969.709594
10.167.121.208,52.123.173.180,6,1444,60979,443,1711807969.712419
10.167.121.208,52.123.173.180,6,381,60979,443,1711807969.712419
20.189.173.10,10.167.121.208,6,54,443,56417,1711807969.729104
10.167.127.254,10.167.120.74,2048,56,0,0,1711807969.771533
10.167.127.254,10.167.124.25,2048,56,0,0,1711807969.772401
52.123.173.180,10.167.121.208,6,54,443,60979,1711807969.809702
13.89.179.10,10.167.121.208,6,54,443,56463,1711807969.850227
10.167.121.208,10.167.121.1,2048,42,0,0,1711807969.918179
10.167.121.208,10.167.121.2,6,66,56474,51,1711807969.945793
10.167.121.208,10.167.121.2,6,66,56475,52,1711807969.945888
